 info...class... > info...query... 
 Mammalia > Leptonychotes weddellii 
 Mammalia > Gorilla gorilla gorilla 
 Aves > Camarhynchus parvulus 
 Mammalia > Rhinopithecus roxellana 
 Mammalia > Globicephala melas 
 Mammalia > Nomascus leucogenys 
 Mammalia > Delphinapterus leucas 
 Actinopteri > Chanos chanos 
 Actinopteri > Archocentrus centrarchus 
 unk > Gopherus evgoodei 
 Aves > Strigops habroptila 
 Aves > Calypte anna 
 Mammalia > Lynx canadensis 
 Aves > Taeniopygia guttata 
 Aves > Serinus canaria 
 Amphibia > Microcaecilia unicolor 
 Actinopteri > Sphaeramia orbicularis 
 Aves > Aquila chrysaetos chrysaetos 
 Actinopteri > Salarias fasciatus 
 Actinopteri > Myripristis murdjan 
 Mammalia > Suricata suricatta 
 Actinopteri > Takifugu rubripes 
 Amphibia > Rhinatrema bivittatum 
 Mammalia > Nannospalax galili 
 Actinopteri > Echeneis naucrates 
 Mammalia > Mus caroli 
 Actinopteri > Cottoperca gobio 
 Actinopteri > Labrus bergylta 
 Actinopteri > Scleropages formosus 
 Mammalia > Monodon monoceros 
 Actinopteri > Betta splendens 
 Actinopteri > Esox lucius 
 Mammalia > Ornithorhynchus anatinus 
 Actinopteri > Denticeps clupeoides 
 Mammalia > Macaca mulatta 
 Mammalia > Peromyscus leucopus 
 Cladistia > Erpetoichthys calabaricus 
 unk > Podarcis muralis 
 Mammalia > Grammomys surdaster 
 Actinopteri > Perca flavescens 
 Mammalia > Phyllostomus discolor 
 Actinopteri > Gouania willdenowi 
 Actinopteri > Parambassis ranga 
 Mammalia > Eumetopias jubatus 
 Actinopteri > Xiphophorus couchianus 
 Mammalia > Ovis aries 
 Mammalia > Marmota flaviventris 
 Mammalia > Vombatus ursinus 
 Aves > Empidonax traillii 
 Aves > Pipra filicauda 
 Aves > Corapipo altera 
 Aves > Neopelma chrysocephalum 
 Mammalia > Zalophus californianus 
 Mammalia > Bos indicus x Bos taurus 
 Aves > Anas platyrhynchos 
 Mammalia > Cricetulus griseus 
 Actinopteri > Larimichthys crocea 
 Actinopteri > Tachysurus fulvidraco 
 Mammalia > Homo sapiens 
 Mammalia > Lagenorhynchus obliquidens 
 Mammalia > Acinonyx jubatus 
 Actinopteri > Pangasianodon hypophthalmus 
 Mammalia > Microtus ochrogaster 
 unk > Pseudonaja textilis 
 unk > Notechis scutatus 
 unk > Terrapene carolina triunguis 
 Mammalia > Ursus arctos horribilis 
 Mammalia > Urocitellus parryii 
 Actinopteri > Anabas testudineus 
 Actinopteri > Mastacembelus armatus 
 Actinopteri > Carassius auratus 
 Actinopteri > Astatotilapia calliptera 
 Aves > Nothoprocta perdicaria 
 Mammalia > Vulpes vulpes 
 Actinopteri > Oreochromis niloticus 
 Mammalia > Canis lupus dingo 
 Mammalia > Theropithecus gelada 
 Mammalia > Bubalus bubalis 
 Mammalia > Mus musculus 
 unk > Alligator sinensis 
 unk > Python bivittatus 
 Actinopteri > Cynoglossus semilaevis 
